day	hour	value
1	1	0.0
1	2	7.067136924032046
1	3	7.093316004415932
1	4	5.79986703179824
1	5	7.440927912747458
1	6	0.0
1	7	0.0
1	8	0.0
1	9	0.0
1	10	0.0
1	11	0.0
1	12	10.9768659555891
1	13	12.099268256771763
1	14	11.302093044435486
1	15	10.780803953829416
1	16	11.644099629096422
1	17	11.830537122857507
1	18	12.641465627073165
1	19	11.481363277822828
1	20	0.0
1	21	0.0
1	22	0.0
1	23	0.0
2	1	0.0
2	2	14.665842993075692
2	3	14.556999866325473
2	4	12.047799763004717
2	5	14.986219994258525
2	6	0.0
2	7	0.0
2	8	0.0
2	9	0.0
2	10	0.0
2	11	0.0
2	12	20.75755314908994
2	13	22.727986441109163
2	14	21.2313766127505
2	15	19.396086086256364
2	16	22.533809943933917
2	17	23.01623045302778
2	18	25.24380945406797
2	19	23.340519750617975
2	20	0.0
2	21	0.0
2	22	0.0
2	23	0.0
3	1	0.0
3	2	2.516409604721563
3	3	2.5518440454882243
3	4	2.0941258841791566
3	5	2.5965014376575115
3	6	0.0
3	7	0.0
3	8	0.0
3	9	0.0
3	10	0.0
3	11	0.0
3	12	3.3228040782992783
3	13	3.6528250102154707
3	14	3.2966162358339752
3	15	3.1338401100705906
3	16	3.5076820384294463
3	17	3.6957183993421787
3	18	3.4829089785152973
3	19	3.486402175475557
3	20	0.0
3	21	0.0
3	22	0.0
3	23	0.0
